Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
15,15,15,14,10,8,3,10
1,10,10,4,3,8,2,2
14,8,15,13,7,8.5,10,10
15,15,15,15,10,8.5,10,10
11,11,15,15,10,4,7,10
8,10,12,4,10,8,6,5
15,4,15,15,10,10,10,8
10,3,11.5,13,6,7,8,10
13,8,10.5,13,10,10,10,10
12,4,12,15,9,8,10,10
12,5,11.5,14,10,10,9,10
12,5,14,12,10,2,10,10
12,3,12,14,10,5.5,5,10
3,8,15,14,10,10,5,10
14,3,15,14,8,10,7,10
15,15,15,15,10,10,10,10
12,3,13,15,8,4,10,10
13,3,10,3,10,5,8,10
15,5,12,15,10,10,10,10
15,3,12,15,10,9.5,7,10
14,3,10,5,10,8,9,10
8,3,10,15,10,6,2,10
15,3,15,11,7,5,10,10
8,10,0,11,0,4,5,2
13,8,15,15,10,10,10,10
10,3,10,10,6,4,7,2
12,3,12,15,10,1.5,10,10
10,15,15,14,10,5.5,3,10
12,7,12,15,10,10,10,10
14,5,15,15,10,10,8,10
15,8,15,13,8,8.5,10,10
13,3,12,11,7,5,8,10
13,8,11.5,15,10,9.5,10,10
1,3,8,2,6,4,10,3
15,11,15,11,11,5.5,10,10
13,2,7.5,14,1,2,6,2
7,0,8.5,15,1,0,2,10
14,15,15,15,10,10,10,10
14,15,15,15,10,9.5,10,10
15,8,12,14,10,4,10,10
15,5,15,12,10,10,10,10
15,15,14.5,15,10,9.5,10,10
15,8,12,13,10,5,10,4
15,8,15,15,10,8,10,10
13,3,11.5,15,10,8.5,10,10
13,3,11.5,13,8,4,6,2
8,15,15,9,10,5,10,2
12,3,9,14,10,8.5,8.5,10
15,15,15,14,10,8,3,10
1,10,10,4,3,8,2,2
14,8,15,13,7,8.5,10,10
15,15,15,15,10,8.5,10,10
11,11,15,15,10,4,7,10
2,3,14,3,1,4,2,2
14,8,15,15,10,7,7,10
14,7,11.5,10,6,8,10,10
13,8,11.5,15,10,10,7,10
12,12,13,14,10,8,10,10
15,3,15,14,10,0,10,10
15,5,15,15,9,5,10,10
15,12,12,13,8,5,10,10
13,15,15,15,10,10,10,10
15,10,15,15,8,8,10,10
0,3,7,10,10,8,10,10
12,5,15,11,6,5,4,5
14,2,11.5,3,9,6,4,10
12,3,15,15,10,10,8,10
12,8,14.5,15,10,5,5,9
12,15,15,11,4,7,7,10
12,2,13,14,10,5,10,10
